cell_type,sex,ann_level_4,0
myofibroblast cell,male,CD4 T cells,0
myofibroblast cell,male,CD8 T cells,0
myofibroblast cell,male,Classical monocytes,0
myofibroblast cell,male,Club,0
myofibroblast cell,male,DC1,0
myofibroblast cell,male,DC2,0
myofibroblast cell,male,Deuterosomal,0
myofibroblast cell,male,EC aerocyte capillary,0
myofibroblast cell,male,EC general capillary,0
myofibroblast cell,male,EC venous pulmonary,0
myofibroblast cell,male,EC venous systemic,0
myofibroblast cell,male,Goblet,0
myofibroblast cell,male,Hillock-like,0
myofibroblast cell,male,Interstitial macrophages,0
myofibroblast cell,male,Ionocyte,0
myofibroblast cell,male,Migratory DCs,0
myofibroblast cell,male,Multiciliated,0
myofibroblast cell,male,NK cells,0
myofibroblast cell,male,Neuroendocrine,0
myofibroblast cell,male,Non-classical monocytes,0
myofibroblast cell,male,None,352
myofibroblast cell,male,Peribronchial fibroblasts,0
myofibroblast cell,male,Pericytes,0
myofibroblast cell,male,Plasma cells,0
myofibroblast cell,male,Plasmacytoid DCs,0
myofibroblast cell,male,SMG duct,0
myofibroblast cell,male,SMG mucous,0
myofibroblast cell,male,SMG serous,0
myofibroblast cell,male,Subpleural fibroblasts,0
myofibroblast cell,male,Suprabasal,0
myofibroblast cell,male,T cells proliferating,0
myofibroblast cell,male,Transitional Club-AT2,0
myofibroblast cell,male,Tuft,0
smooth muscle cell,female,AT2 proliferating,0
smooth muscle cell,female,Adventitial fibroblasts,0
smooth muscle cell,female,Alveolar fibroblasts,0
smooth muscle cell,female,Alveolar macrophages,0
smooth muscle cell,female,B cells,0
smooth muscle cell,female,Basal resting,0
smooth muscle cell,female,CD4 T cells,0
smooth muscle cell,female,CD8 T cells,0
smooth muscle cell,female,Classical monocytes,0
smooth muscle cell,female,Club,0
smooth muscle cell,female,DC1,0
smooth muscle cell,female,DC2,0
smooth muscle cell,female,Deuterosomal,0
smooth muscle cell,female,EC aerocyte capillary,0
smooth muscle cell,female,EC general capillary,0
smooth muscle cell,female,EC venous pulmonary,0
smooth muscle cell,female,EC venous systemic,0
smooth muscle cell,female,Goblet,0
