cell_type,sex,ann_level_2,0
plasmacytoid dendritic cell,male,Smooth muscle,0
plasmacytoid dendritic cell,male,Submucosal Gland,0
plasma cell,female,Airway epithelium,0
plasma cell,female,Alveolar epithelium,0
plasma cell,female,Blood vessels,0
plasma cell,female,Fibroblast lineage,0
plasma cell,female,Hematopoietic stem cells,0
plasma cell,female,Lymphatic EC,0
plasma cell,female,Lymphoid,887
plasma cell,female,Mesothelium,0
plasma cell,female,Myeloid,0
plasma cell,female,Smooth muscle,0
plasma cell,female,Submucosal Gland,0
plasma cell,male,Airway epithelium,0
plasma cell,male,Alveolar epithelium,0
plasma cell,male,Blood vessels,0
plasma cell,male,Fibroblast lineage,0
plasma cell,male,Hematopoietic stem cells,0
plasma cell,male,Lymphatic EC,0
plasma cell,male,Lymphoid,886
plasma cell,male,Mesothelium,0
plasma cell,male,Myeloid,0
plasma cell,male,Smooth muscle,0
plasma cell,male,Submucosal Gland,0
classical monocyte,female,Airway epithelium,0
classical monocyte,female,Alveolar epithelium,0
classical monocyte,female,Blood vessels,0
classical monocyte,female,Fibroblast lineage,0
classical monocyte,female,Hematopoietic stem cells,0
classical monocyte,female,Lymphatic EC,0
classical monocyte,female,Lymphoid,0
classical monocyte,female,Mesothelium,0
classical monocyte,female,Myeloid,8276
classical monocyte,female,Smooth muscle,0
classical monocyte,female,Submucosal Gland,0
classical monocyte,male,Airway epithelium,0
classical monocyte,male,Alveolar epithelium,0
classical monocyte,male,Blood vessels,0
classical monocyte,male,Fibroblast lineage,0
classical monocyte,male,Hematopoietic stem cells,0
classical monocyte,male,Lymphatic EC,0
classical monocyte,male,Lymphoid,0
classical monocyte,male,Mesothelium,0
classical monocyte,male,Myeloid,9419
classical monocyte,male,Smooth muscle,0
classical monocyte,male,Submucosal Gland,0
elicited macrophage,female,Airway epithelium,0
elicited macrophage,female,Alveolar epithelium,0
elicited macrophage,female,Blood vessels,0
elicited macrophage,female,Fibroblast lineage,0
elicited macrophage,female,Hematopoietic stem cells,0
elicited macrophage,female,Lymphatic EC,0
elicited macrophage,female,Lymphoid,0
elicited macrophage,female,Mesothelium,0
elicited macrophage,female,Myeloid,7711
elicited macrophage,female,Smooth muscle,0
elicited macrophage,female,Submucosal Gland,0
elicited macrophage,male,Airway epithelium,0
elicited macrophage,male,Alveolar epithelium,0
elicited macrophage,male,Blood vessels,0
elicited macrophage,male,Fibroblast lineage,0
elicited macrophage,male,Hematopoietic stem cells,0
elicited macrophage,male,Lymphatic EC,0
elicited macrophage,male,Lymphoid,0
elicited macrophage,male,Mesothelium,0
elicited macrophage,male,Myeloid,20512
elicited macrophage,male,Smooth muscle,0
elicited macrophage,male,Submucosal Gland,0
non-classical monocyte,female,Airway epithelium,0
non-classical monocyte,female,Alveolar epithelium,0
non-classical monocyte,female,Blood vessels,0
non-classical monocyte,female,Fibroblast lineage,0
non-classical monocyte,female,Hematopoietic stem cells,0
non-classical monocyte,female,Lymphatic EC,0
non-classical monocyte,female,Lymphoid,0
non-classical monocyte,female,Mesothelium,0
non-classical monocyte,female,Myeloid,2311
non-classical monocyte,female,Smooth muscle,0
non-classical monocyte,female,Submucosal Gland,0
non-classical monocyte,male,Airway epithelium,0
non-classical monocyte,male,Alveolar epithelium,0
non-classical monocyte,male,Blood vessels,0
non-classical monocyte,male,Fibroblast lineage,0
non-classical monocyte,male,Hematopoietic stem cells,0
non-classical monocyte,male,Lymphatic EC,0
non-classical monocyte,male,Lymphoid,0
non-classical monocyte,male,Mesothelium,0
non-classical monocyte,male,Myeloid,6523
non-classical monocyte,male,Smooth muscle,0
non-classical monocyte,male,Submucosal Gland,0
conventional dendritic cell,female,Airway epithelium,0
conventional dendritic cell,female,Alveolar epithelium,0
conventional dendritic cell,female,Blood vessels,0
conventional dendritic cell,female,Fibroblast lineage,0
conventional dendritic cell,female,Hematopoietic stem cells,0
conventional dendritic cell,female,Lymphatic EC,0
conventional dendritic cell,female,Lymphoid,0
conventional dendritic cell,female,Mesothelium,0
conventional dendritic cell,female,Myeloid,164
conventional dendritic cell,female,Smooth muscle,0
conventional dendritic cell,female,Submucosal Gland,0
conventional dendritic cell,male,Airway epithelium,0
conventional dendritic cell,male,Alveolar epithelium,0
conventional dendritic cell,male,Blood vessels,0
conventional dendritic cell,male,Fibroblast lineage,0
conventional dendritic cell,male,Hematopoietic stem cells,0
conventional dendritic cell,male,Lymphatic EC,0
conventional dendritic cell,male,Lymphoid,0
conventional dendritic cell,male,Mesothelium,0
conventional dendritic cell,male,Myeloid,158
conventional dendritic cell,male,Smooth muscle,0
conventional dendritic cell,male,Submucosal Gland,0
type I pneumocyte,female,Airway epithelium,0
type I pneumocyte,female,Alveolar epithelium,3120
type I pneumocyte,female,Blood vessels,0
type I pneumocyte,female,Fibroblast lineage,0
type I pneumocyte,female,Hematopoietic stem cells,0
type I pneumocyte,female,Lymphatic EC,0
type I pneumocyte,female,Lymphoid,0
type I pneumocyte,female,Mesothelium,0
type I pneumocyte,female,Myeloid,0
type I pneumocyte,female,Smooth muscle,0
type I pneumocyte,female,Submucosal Gland,0
type I pneumocyte,male,Airway epithelium,0
type I pneumocyte,male,Alveolar epithelium,4817
type I pneumocyte,male,Blood vessels,0
type I pneumocyte,male,Fibroblast lineage,0
type I pneumocyte,male,Hematopoietic stem cells,0
type I pneumocyte,male,Lymphatic EC,0
type I pneumocyte,male,Lymphoid,0
type I pneumocyte,male,Mesothelium,0
type I pneumocyte,male,Myeloid,0
type I pneumocyte,male,Smooth muscle,0
type I pneumocyte,male,Submucosal Gland,0
type II pneumocyte,female,Airway epithelium,0
type II pneumocyte,female,Alveolar epithelium,31002
type II pneumocyte,female,Blood vessels,0
type II pneumocyte,female,Fibroblast lineage,0
type II pneumocyte,female,Hematopoietic stem cells,0
type II pneumocyte,female,Lymphatic EC,0
type II pneumocyte,female,Lymphoid,0
type II pneumocyte,female,Mesothelium,0
type II pneumocyte,female,Myeloid,0
type II pneumocyte,female,Smooth muscle,0
type II pneumocyte,female,Submucosal Gland,0
type II pneumocyte,male,Airway epithelium,0
type II pneumocyte,male,Alveolar epithelium,31403
type II pneumocyte,male,Blood vessels,0
type II pneumocyte,male,Fibroblast lineage,0
type II pneumocyte,male,Hematopoietic stem cells,0
type II pneumocyte,male,Lymphatic EC,0
type II pneumocyte,male,Lymphoid,0
type II pneumocyte,male,Mesothelium,0
type II pneumocyte,male,Myeloid,0
type II pneumocyte,male,Smooth muscle,0
type II pneumocyte,male,Submucosal Gland,0
brush cell of trachebronchial tree,female,Airway epithelium,55
brush cell of trachebronchial tree,female,Alveolar epithelium,0
brush cell of trachebronchial tree,female,Blood vessels,0
brush cell of trachebronchial tree,female,Fibroblast lineage,0
brush cell of trachebronchial tree,female,Hematopoietic stem cells,0
brush cell of trachebronchial tree,female,Lymphatic EC,0
brush cell of trachebronchial tree,female,Lymphoid,0
brush cell of trachebronchial tree,female,Mesothelium,0
brush cell of trachebronchial tree,female,Myeloid,0
brush cell of trachebronchial tree,female,Smooth muscle,0
brush cell of trachebronchial tree,female,Submucosal Gland,0
brush cell of trachebronchial tree,male,Airway epithelium,110
brush cell of trachebronchial tree,male,Alveolar epithelium,0
brush cell of trachebronchial tree,male,Blood vessels,0
brush cell of trachebronchial tree,male,Fibroblast lineage,0
brush cell of trachebronchial tree,male,Hematopoietic stem cells,0
brush cell of trachebronchial tree,male,Lymphatic EC,0
brush cell of trachebronchial tree,male,Lymphoid,0
brush cell of trachebronchial tree,male,Mesothelium,0
brush cell of trachebronchial tree,male,Myeloid,0
brush cell of trachebronchial tree,male,Smooth muscle,0
brush cell of trachebronchial tree,male,Submucosal Gland,0
endothelial cell of lymphatic vessel,female,Airway epithelium,0
endothelial cell of lymphatic vessel,female,Alveolar epithelium,0
endothelial cell of lymphatic vessel,female,Blood vessels,0
endothelial cell of lymphatic vessel,female,Fibroblast lineage,0
endothelial cell of lymphatic vessel,female,Hematopoietic stem cells,0
endothelial cell of lymphatic vessel,female,Lymphatic EC,1065
endothelial cell of lymphatic vessel,female,Lymphoid,0
endothelial cell of lymphatic vessel,female,Mesothelium,0
endothelial cell of lymphatic vessel,female,Myeloid,0
endothelial cell of lymphatic vessel,female,Smooth muscle,0
endothelial cell of lymphatic vessel,female,Submucosal Gland,0
endothelial cell of lymphatic vessel,male,Airway epithelium,0
endothelial cell of lymphatic vessel,male,Alveolar epithelium,0
endothelial cell of lymphatic vessel,male,Blood vessels,0
endothelial cell of lymphatic vessel,male,Fibroblast lineage,0
endothelial cell of lymphatic vessel,male,Hematopoietic stem cells,0
endothelial cell of lymphatic vessel,male,Lymphatic EC,3530
endothelial cell of lymphatic vessel,male,Lymphoid,0
endothelial cell of lymphatic vessel,male,Mesothelium,0
endothelial cell of lymphatic vessel,male,Myeloid,0
endothelial cell of lymphatic vessel,male,Smooth muscle,0
endothelial cell of lymphatic vessel,male,Submucosal Gland,0
capillary endothelial cell,female,Airway epithelium,0
capillary endothelial cell,female,Alveolar epithelium,0
capillary endothelial cell,female,Blood vessels,4435
capillary endothelial cell,female,Fibroblast lineage,0
capillary endothelial cell,female,Hematopoietic stem cells,0
capillary endothelial cell,female,Lymphatic EC,0
capillary endothelial cell,female,Lymphoid,0
